"sandwich_taken","weight","class"
27,33,"1"
26,27,"1"
22,29,"1"
19,25,"1"
22,24,"1"
29,33,"1"
22,28,"1"
25,36,"1"
22,27,"1"
22,30,"1"
21,20,"1"
26,32,"1"
23,29,"1"
24,35,"1"
25,35,"1"
20,31,"1"
28,34,"1"
25,32,"1"
27,29,"1"
25,31,"1"
18,35,"2"
22,30,"2"
17,28,"2"
23,37,"2"
20,29,"2"
19,37,"2"
23,30,"2"
21,30,"2"
22,30,"2"
27,21,"2"
25,34,"2"
21,35,"2"
19,35,"2"
25,20,"2"
24,20,"2"
22,29,"2"
18,35,"2"
21,32,"2"
23,30,"2"
19,27,"2"
13,23,"3"
16,30,"3"
16,31,"3"
14,27,"3"
19,34,"3"
17,28,"3"
18,27,"3"
20,30,"3"
14,24,"3"
21,32,"3"
20,28,"3"
17,26,"3"
17,29,"3"
19,38,"3"
17,33,"3"
12,28,"3"
14,28,"3"
15,25,"3"
17,27,"3"
15,29,"3"
23,25,"4"
16,31,"4"
16,33,"4"
25,24,"4"
17,28,"4"
18,25,"4"
18,31,"4"
18,30,"4"
5,41,"4"
23,24,"4"
14,31,"4"
13,35,"4"
15,30,"4"
20,27,"4"
17,28,"4"
18,30,"4"
16,30,"4"
17,34,"4"
16,25,"4"
22,26,"4"
25,29,"5"
18,34,"5"
32,24,"5"
28,26,"5"
23,31,"5"
29,22,"5"
17,37,"5"
16,41,"5"
26,27,"5"
25,31,"5"
33,22,"5"
19,35,"5"
26,26,"5"
24,28,"5"
29,24,"5"
22,29,"5"
27,27,"5"
21,36,"5"
22,34,"5"
14,44,"5"
25,28,"6"
30,40,"6"
19,28,"6"
18,23,"6"
16,24,"6"
23,26,"6"
26,32,"6"
19,21,"6"
23,36,"6"
22,31,"6"
22,29,"6"
20,32,"6"
24,29,"6"
26,31,"6"
27,34,"6"
23,34,"6"
24,29,"6"
24,32,"6"
24,31,"6"
27,30,"6"
18,28,"7"
17,33,"7"
21,28,"7"
22,28,"7"
15,34,"7"
19,29,"7"
19,37,"7"
22,26,"7"
12,38,"7"
20,30,"7"
27,21,"7"
15,27,"7"
20,30,"7"
16,26,"7"
23,24,"7"
20,25,"7"
11,40,"7"
23,29,"7"
21,36,"7"
21,30,"7"
19,30,"8"
22,25,"8"
21,26,"8"
22,33,"8"
17,32,"8"
21,26,"8"
17,35,"8"
23,29,"8"
15,35,"8"
21,28,"8"
27,30,"8"
20,31,"8"
18,40,"8"
20,29,"8"
15,35,"8"
23,19,"8"
14,36,"8"
21,25,"8"
19,35,"8"
21,33,"8"
18,25,"9"
23,25,"9"
18,27,"9"
16,33,"9"
21,31,"9"
19,28,"9"
20,29,"9"
20,36,"9"
13,36,"9"
16,33,"9"
21,28,"9"
18,27,"9"
22,24,"9"
18,38,"9"
23,21,"9"
19,28,"9"
19,33,"9"
19,34,"9"
18,29,"9"
16,31,"9"
17,33,"10"
11,31,"10"
19,31,"10"
17,36,"10"
19,23,"10"
20,24,"10"
22,30,"10"
21,22,"10"
18,32,"10"
26,27,"10"
29,22,"10"
23,34,"10"
21,24,"10"
19,32,"10"
23,22,"10"
19,34,"10"
20,28,"10"
14,35,"10"
15,30,"10"
19,33,"10"
21,30,"11"
23,46,"11"
23,29,"11"
17,36,"11"
23,29,"11"
21,35,"11"
22,34,"11"
21,31,"11"
21,25,"11"
23,37,"11"
21,26,"11"
17,29,"11"
21,36,"11"
20,26,"11"
22,31,"11"
21,35,"11"
22,36,"11"
20,30,"11"
18,31,"11"
22,30,"11"
18,36,"12"
21,26,"12"
13,37,"12"
18,29,"12"
25,25,"12"
15,32,"12"
22,32,"12"
18,34,"12"
25,29,"12"
24,30,"12"
17,29,"12"
21,32,"12"
23,32,"12"
23,32,"12"
20,29,"12"
22,27,"12"
24,23,"12"
11,38,"12"
15,32,"12"
22,28,"12"
23,27,"13"
25,31,"13"
14,26,"13"
19,33,"13"
16,25,"13"
20,28,"13"
19,31,"13"
18,26,"13"
22,32,"13"
24,38,"13"
21,25,"13"
21,28,"13"
21,30,"13"
18,26,"13"
28,34,"13"
26,36,"13"
17,26,"13"
18,27,"13"
28,30,"13"
30,37,"13"
10,36,"14"
19,31,"14"
12,35,"14"
19,24,"14"
17,28,"14"
18,30,"14"
15,41,"14"
22,21,"14"
13,36,"14"
20,31,"14"
15,33,"14"
18,25,"14"
17,30,"14"
18,39,"14"
21,36,"14"
19,26,"14"
11,35,"14"
23,29,"14"
20,33,"14"
18,27,"14"
19,35,"15"
16,29,"15"
20,33,"15"
21,30,"15"
24,29,"15"
25,29,"15"
19,31,"15"
21,27,"15"
15,37,"15"
19,25,"15"
20,34,"15"
22,30,"15"
11,39,"15"
17,34,"15"
11,38,"15"
21,31,"15"
18,29,"15"
21,29,"15"
25,18,"15"
28,23,"15"
18,26,"16"
25,37,"16"
23,35,"16"
20,31,"16"
16,20,"16"
23,31,"16"
21,27,"16"
20,23,"16"
22,32,"16"
18,31,"16"
18,26,"16"
15,24,"16"
25,33,"16"
25,34,"16"
18,23,"16"
21,31,"16"
24,27,"16"
17,31,"16"
23,34,"16"
21,36,"16"
